alfa2,cidade,regiao,populacao,latitude,longitude
ad,andorra la vella,07,20430.0,42.5,1.5166667
ad,canillo,02,3292.0,42.5666667,1.6
ad,encamp,03,11224.0,42.533333299999995,1.5833333
ad,la massana,04,7211.0,42.55,1.5166667
ad,les escaldes,08,15854.0,42.5,1.5333333
ad,ordino,05,2553.0,42.55,1.5333333
ad,sant julia de loria,06,8020.0,42.466666700000005,1.5
ae,abu dhabi,01,603687.0,24.466667,54.36666700000001
ae,dubai,03,1137376.0,25.258172000000002,55.304717000000004
wk,Birnin Zana,01,50000.0,0.0,0.0
wk,Warrior Falls,02,40000.0,0.5,0.5
wk,Szaa,03,30000.0,-0.5,-0.5
wk,Pembroke,04,25000.0,1.0,1.0
wk,Golden City,05,45000.0,-1.0,-1.0
